Training History
============================================================

Best Validation AUC: 0.8698
Total Epochs Trained: 21

------------------------------------------------------------
Epoch    Train Loss      Val AUC         Val Hits@10    
------------------------------------------------------------
1        23.0823         0.7636          0.4033         
2        6.6030          0.7631          0.4106         
3        4.7513          0.7577          0.4057         
4        3.2814          0.7595          0.4117         
5        1.8059          0.7841          0.4176         
6        0.9843          0.8458          0.5755         
7        0.9216          0.8573          0.6111         
8        0.8948          0.8638          0.6347         
9        0.8776          0.8678          0.6517         
10       0.8640          0.8688          0.6627         
11       0.8532          0.8698          0.6717         
12       0.8434          0.8689          0.6796         
13       0.8354          0.8693          0.6877         
14       0.8280          0.8682          0.6926         
15       0.8213          0.8658          0.6938         
16       0.8151          0.8672          0.6981         
17       0.8098          0.8645          0.7015         
18       0.8047          0.8656          0.7008         
19       0.7998          0.8633          0.7057         
20       0.7959          0.8628          0.7057         
21       0.7922          0.8586          0.7061         
