Relational GAT Training History
============================================================

Best Validation AUC: 0.9872
Total Epochs Trained: 20

------------------------------------------------------------
Epoch    Train Loss      Val AUC         Val Hits@10    
------------------------------------------------------------
1        0.9718          0.9710          0.8985         
2        0.3820          0.9775          0.9410         
3        0.3032          0.9802          0.9506         
4        0.2701          0.9831          0.9613         
5        0.2515          0.9836          0.9663         
6        0.2349          0.9843          0.9677         
7        0.2268          0.9838          0.9689         
8        0.2219          0.9857          0.9703         
9        0.2154          0.9852          0.9711         
10       0.2116          0.9862          0.9707         
11       0.2049          0.9855          0.9719         
12       0.2049          0.9834          0.9700         
13       0.1993          0.9839          0.9709         
14       0.1961          0.9859          0.9721         
15       0.1950          0.9871          0.9733         
16       0.1915          0.9860          0.9717         
17       0.1891          0.9872          0.9738         
18       0.1892          0.9854          0.9726         
19       0.1870          0.9870          0.9721         
20       0.1854          0.9861          0.9732         
