Relational GAT Training History
============================================================

Best Validation AUC: 0.8970
Total Epochs Trained: 38

------------------------------------------------------------
Epoch    Train Loss      Val AUC         Val Hits@10    
------------------------------------------------------------
1        1.6379          0.7390          0.3962         
2        0.8670          0.8418          0.5550         
3        0.4671          0.8723          0.6318         
4        0.2890          0.8805          0.6978         
5        0.2142          0.8808          0.7251         
6        0.1708          0.8809          0.7498         
7        0.1378          0.8747          0.7409         
8        0.1264          0.8842          0.7637         
9        0.1106          0.8865          0.7729         
10       0.1079          0.8818          0.7749         
11       0.0949          0.8917          0.7772         
12       0.0954          0.8814          0.7877         
13       0.0798          0.8854          0.7894         
14       0.0798          0.8841          0.7924         
15       0.0765          0.8848          0.7933         
16       0.0718          0.8884          0.8045         
17       0.0707          0.8916          0.7904         
18       0.0735          0.8882          0.7963         
19       0.0689          0.8853          0.7910         
20       0.0625          0.8804          0.7900         
21       0.0588          0.8927          0.8049         
22       0.0580          0.8839          0.8062         
23       0.0595          0.8874          0.8121         
24       0.0505          0.8813          0.8039         
25       0.0523          0.8908          0.8092         
26       0.0470          0.8930          0.8138         
27       0.0444          0.8822          0.7950         
28       0.0432          0.8970          0.8098         
29       0.0457          0.8952          0.8131         
30       0.0428          0.8878          0.8121         
31       0.0386          0.8928          0.8069         
32       0.0396          0.8933          0.8187         
33       0.0360          0.8962          0.8045         
34       0.0366          0.8958          0.8200         
35       0.0329          0.8886          0.8125         
36       0.0325          0.8966          0.8049         
37       0.0306          0.8963          0.8131         
38       0.0312          0.8965          0.8013         
