GAT Training History
============================================================

Best Validation AUC: 0.8137
Total Epochs Trained: 17

------------------------------------------------------------
Epoch    Train Loss      Val AUC         Val Hits@10    
------------------------------------------------------------
1        54.9855         0.8077          0.6094         
2        11.9403         0.8038          0.6187         
3        9.7034          0.8083          0.6134         
4        8.4053          0.8100          0.6121         
5        7.4089          0.8075          0.6140         
6        6.5584          0.8110          0.6134         
7        5.8323          0.8137          0.6150         
8        5.1341          0.8093          0.6180         
9        4.4501          0.8083          0.6226         
10       3.7535          0.8047          0.6249         
11       2.9151          0.8048          0.6134         
12       1.7392          0.7924          0.6051         
13       1.0230          0.7875          0.6038         
14       0.9161          0.7930          0.6170         
15       0.8864          0.7961          0.6243         
16       0.8690          0.8020          0.6305         
17       0.8532          0.8099          0.6378         
